Frequency (Hz),Magnitude (dB),Phase (°)
734200.37296,58.673844476,156.79875872
789441.13237,57.506486955,138.71653805
848838.17065,55.951567942,120.55441738
912704.20354,54.160464602,102.7626377
981375.47527,51.988120066,85.652880451
1055213.5289,49.665260109,69.810542072
1134607.1098,47.225811722,54.761380499
1219974.2121,44.701528597,40.870077484
1311764.2798,42.112818791,27.259718427
1410460.5726,39.450782229,14.250400785
1516582.7104,36.717270631,1.5781602705
1630689.409,33.93367874,-10.911350233
1753381.4214,31.096616011,-22.952175545
1885304.7013,28.187484533,-35.368910636
2027153.803,25.198450302,-47.243611978
2179675.5391,22.115471074,-59.843482249
2343672.9116,18.930101918,-70.718143098
2520009.3399,15.635574039,-82.791941405
2709613.2066,12.421591314,-92.933465841
2913482.7452,8.7491715859,-106.60736352
3132691.2955,5.397815401,-118.9447602
3368392.9548,1.6662015043,-128.5031232
3621828.6539,-3.0371325026,-141.02129067
3894332.6905,-4.296310343,-151.62727758
4187339.7539,-8.6046612614,-154.82603012
4502392.4785,-16.946981415,152.25473038
4841149.5655,-25.816234867,164.26219435
5205394.5159,-23.417296585,128.91099218
5597045.0199,-32.027883808,58.065505233
6018163.0535,-23.5041062,147.3850291
6470965.7346,-21.173221028,160.02666671
6957836.9955,-21.142182289,56.52544904
7481340.1339,-24.117419057,140.80927189
8044231.3086,-27.196450276,-44.134898941
8649474.0498,-24.385536409,-83.590892627
9300254.862,-32.658396495,106.40810562
10000000.0,-55.735742614,92.327922075
5.0,47.413473839,-160.41869058
5.376197,48.913311167,-169.88412119
5.780698,50.273399076,-179.75823847
6.215634,51.426894537,171.16647725
6.683295,52.48080819,161.96792872
7.186141,53.481639121,152.40802212
7.726822,54.309676507,143.78839415
8.308183,55.057096764,134.92242376
8.933285,55.727179293,126.69415683
9.60542,56.316225883,118.99378749
10.328125,56.82010263,111.46022917
11.105207,57.245002139,104.45978384
11.940755,57.655204781,97.74488726
12.83917,58.002278386,91.413760574
13.805181,58.310828659,85.60318729
14.843874,58.571987099,79.904361866
15.960717,58.82420755,74.799149607
17.161591,59.016154992,69.896684745
18.452818,59.221995299,65.199660321
19.841196,59.372022012,60.964621726
21.334035,59.51639796,56.674612493
22.939194,59.619568991,53.033868537
24.665124,59.743873854,49.431417113
26.520912,59.823588082,46.09275643
28.516328,59.929622834,42.901828635
30.661878,59.999838206,39.928331674
32.968858,60.05678974,37.374691874
35.449413,60.117865048,34.687531079
38.116604,60.148033414,32.299372899
40.984473,60.199652884,30.029157809
44.068118,60.285675802,27.96255861
47.383775,60.299300153,26.010852056
50.948899,60.373120391,24.500735327
54.782261,60.361827824,22.314447444
58.904043,60.418637534,21.234835598
63.335945,60.4383458,19.589701612
68.1013,60.365807465,18.441652014
73.225198,60.385074845,17.123460683
78.734614,60.452094158,15.950270795
84.658555,60.412070167,14.689726763
91.02821,60.419932806,13.536411997
97.877114,60.458331833,12.901928818
105.241324,60.460978565,11.560014644
113.159613,60.485340152,11.088207823
121.673669,60.477601137,10.247242053
130.828317,60.498493828,9.6195837218
140.671754,60.489099373,8.9573176035
151.255806,60.480324857,8.0062574529
162.636194,60.496872266,7.6498686018
174.872836,60.499068816,6.8704581701
188.030155,60.484842963,6.3116507054
202.177421,60.534251777,6.1695125378
217.389119,60.479385327,5.6522041473
233.745336,60.525122441,5.1392589953
251.332183,60.535385382,4.6671505666
270.242253,60.53777224,4.2639176392
