Frequency (Hz),Magnitude (dB),Phase (°)
4187339.7539,-8.5282973609,-142.34970766
4502392.4785,-11.947751339,-151.33054627
4841149.5655,-14.674120675,-151.6155332
5205394.5159,-22.358666216,-155.67156359
5597045.0199,-24.017935474,-177.42222873
6018163.0535,-24.577963589,-172.82282953
6470965.7346,-34.035979431,96.024370907
6957836.9955,-23.720622419,-167.68495029
7481340.1339,-36.260656119,-40.27106456
8044231.3086,-28.724622547,115.82691991
8649474.0498,-36.968371631,-72.776050074
9300254.862,-44.453833388,63.264254244
10000000.0,-34.015668217,62.38581926
5.0,47.521078404,-161.33306107
5.376197,48.980013808,-170.83313406
5.780698,50.337620044,179.29291303
6.215634,51.499444038,170.21483151
6.683295,52.514979824,161.169853
7.186141,53.505867881,151.54262443
7.726822,54.324272501,143.01148399
8.308183,55.083829109,134.31563119
8.933285,55.735190772,125.99250936
9.60542,56.319408698,118.29701611
10.328125,56.820158164,110.78552758
11.105207,57.267344195,103.84328433
11.940755,57.634025449,97.275083253
12.83917,57.998752101,91.002948135
13.805181,58.29224575,85.234234904
14.843874,58.562541315,79.562751823
15.960717,58.797044426,74.428080281
17.161591,58.999857342,69.391166468
18.452818,59.188137562,65.019847288
19.841196,59.345135488,60.639470016
21.334035,59.495327977,56.495401054
22.939194,59.617994463,52.743207426
24.665124,59.724154204,49.183372023
26.520912,59.820962753,45.884670153
28.516328,59.911112352,42.65832557
30.661878,59.975683414,39.809992216
32.968858,60.04165241,37.160709248
35.449413,60.102590889,34.644240298
38.116604,60.134155011,32.256009619
40.984473,60.199935712,30.000447372
44.068118,60.224125583,28.007539516
47.383775,60.26670875,25.936646813
50.948899,60.293492259,24.229431278
54.782261,60.332855651,22.637892932
58.904043,60.350591582,20.962963642
63.335945,60.354321602,19.611589335
68.1013,60.399059375,18.175318116
73.225198,60.390280001,16.988028738
78.734614,60.409212031,15.934648156
84.658555,60.421222157,14.653946022
91.02821,60.476048688,13.761028159
97.877114,60.44297762,12.670409183
105.241324,60.451106887,11.91468083
113.159613,60.463698042,10.917719314
121.673669,60.47202337,10.122496677
130.828317,60.458946497,9.4292461342
140.671754,60.497548848,8.7160847469
151.255806,60.484204613,8.2101087783
162.636194,60.483926296,7.5511667585
174.872836,60.483950315,7.1414032742
188.030155,60.482643692,6.5051315552
202.177421,60.504681395,5.9398414435
217.389119,60.505398651,5.5185649619
233.745336,60.501790741,5.3045623735
251.332183,60.524018274,4.6993168076
270.242253,60.515494988,4.2719589539
290.575105,60.520435038,3.9339280575
312.437787,60.50445859,3.6224004107
335.945403,60.526023044,3.422218029
361.221717,60.512576089,2.9767154343
388.399805,60.517783089,2.6590443531
417.622754,60.518557417,2.5276250579
449.044419,60.524305001,2.2433937906
482.830229,60.509805028,2.1893746262
519.158062,60.519511074,1.8919656352
558.219178,60.516669806,1.5814907309
